time,primal_bound,dual_bound,gap_percent,event_type,node_count
2.27,1357.0,1054.24,28.72,LPSOLVED,55
2.27,1357.0,1054.24,28.72,LPSOLVED,55
2.28,1357.0,1054.24,28.72,LPSOLVED,56
2.28,1357.0,1054.24,28.72,LPSOLVED,56
2.29,1357.0,1054.24,28.72,LPSOLVED,57
2.29,1357.0,1054.24,28.72,LPSOLVED,57
2.3,1357.0,1054.24,28.72,LPSOLVED,58
2.3,1357.0,1054.24,28.72,LPSOLVED,58
2.41,1357.0,1054.24,28.72,LPSOLVED,59
2.41,1357.0,1054.24,28.72,LPSOLVED,59
2.48,1357.0,1054.24,28.72,LPSOLVED,60
2.48,1357.0,1054.24,28.72,LPSOLVED,60
2.5,1357.0,1054.24,28.72,LPSOLVED,61
2.5,1357.0,1054.24,28.72,LPSOLVED,61
2.5,1357.0,1054.24,28.72,LPSOLVED,62
2.5,1357.0,1054.24,28.72,LPSOLVED,62
2.51,1357.0,1054.24,28.72,LPSOLVED,63
2.51,1357.0,1054.24,28.72,LPSOLVED,63
2.51,1357.0,1054.24,28.72,LPSOLVED,64
2.51,1357.0,1054.24,28.72,LPSOLVED,64
2.52,1357.0,1054.24,28.72,LPSOLVED,64
2.53,1357.0,1054.24,28.72,LPSOLVED,64
2.53,1357.0,1054.24,28.72,LPSOLVED,64
2.53,1357.0,1054.24,28.72,LPSOLVED,64
2.54,1357.0,1054.24,28.72,LPSOLVED,65
2.54,1357.0,1054.24,28.72,LPSOLVED,65
2.56,1357.0,1054.24,28.72,LPSOLVED,66
2.56,1357.0,1054.24,28.72,LPSOLVED,66
2.57,1357.0,1054.24,28.72,LPSOLVED,67
2.57,1357.0,1054.24,28.72,LPSOLVED,67
2.57,1357.0,1054.24,28.72,LPSOLVED,68
2.57,1357.0,1054.24,28.72,LPSOLVED,68
2.75,1357.0,1054.24,28.72,LPSOLVED,69
2.75,1357.0,1054.24,28.72,LPSOLVED,69
2.76,1357.0,1054.24,28.72,LPSOLVED,69
2.77,1357.0,1054.24,28.72,LPSOLVED,70
2.77,1357.0,1054.24,28.72,LPSOLVED,70
2.8,1357.0,1054.24,28.72,LPSOLVED,71
2.8,1357.0,1054.24,28.72,LPSOLVED,71
2.81,1357.0,1054.24,28.72,LPSOLVED,72
2.81,1357.0,1054.24,28.72,LPSOLVED,72
2.81,1357.0,1054.24,28.72,LPSOLVED,72
2.81,1357.0,1054.24,28.72,LPSOLVED,73
2.81,1357.0,1054.24,28.72,LPSOLVED,73
2.81,1357.0,1054.24,28.72,BESTSOLFOUND,73
2.82,1292.0,1054.24,22.55,LPSOLVED,74
2.82,1292.0,1054.24,22.55,LPSOLVED,74
2.83,1292.0,1054.24,22.55,LPSOLVED,75
2.83,1292.0,1054.24,22.55,LPSOLVED,75
2.85,1292.0,1054.24,22.55,LPSOLVED,76
2.85,1292.0,1054.24,22.55,LPSOLVED,76
2.86,1292.0,1054.24,22.55,LPSOLVED,76
2.86,1292.0,1054.24,22.55,LPSOLVED,77
2.86,1292.0,1054.24,22.55,LPSOLVED,77
2.86,1292.0,1054.24,22.55,LPSOLVED,77
2.86,1292.0,1054.24,22.55,LPSOLVED,77
3.05,1292.0,1054.24,22.55,LPSOLVED,78
3.07,1292.0,1054.24,22.55,LPSOLVED,79
3.07,1292.0,1054.24,22.55,LPSOLVED,80
3.08,1292.0,1054.24,22.55,LPSOLVED,80
3.1,1292.0,1054.24,22.55,LPSOLVED,81
3.1,1292.0,1054.24,22.55,LPSOLVED,81
3.11,1292.0,1054.24,22.55,LPSOLVED,82
3.11,1292.0,1054.24,22.55,LPSOLVED,83
3.11,1292.0,1054.24,22.55,LPSOLVED,83
3.12,1292.0,1054.24,22.55,LPSOLVED,84
3.12,1292.0,1054.24,22.55,LPSOLVED,84
3.31,1292.0,1054.24,22.55,LPSOLVED,85
3.31,1292.0,1054.24,22.55,LPSOLVED,85
3.31,1292.0,1054.24,22.55,LPSOLVED,86
3.32,1292.0,1054.24,22.55,LPSOLVED,86
3.33,1292.0,1054.24,22.55,LPSOLVED,87
3.33,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.34,1292.0,1054.24,22.55,LPSOLVED,87
3.35,1292.0,1054.24,22.55,LPSOLVED,87
3.35,1292.0,1054.24,22.55,LPSOLVED,87
3.35,1292.0,1054.24,22.55,LPSOLVED,87
3.35,1292.0,1054.24,22.55,LPSOLVED,87
3.35,1292.0,1054.24,22.55,LPSOLVED,87
3.36,1292.0,1054.24,22.55,LPSOLVED,88
3.36,1292.0,1054.24,22.55,LPSOLVED,88
3.37,1292.0,1054.24,22.55,LPSOLVED,88
3.37,1292.0,1054.24,22.55,LPSOLVED,89
3.37,1292.0,1054.24,22.55,LPSOLVED,89
3.38,1292.0,1054.24,22.55,LPSOLVED,92
3.38,1292.0,1054.24,22.55,LPSOLVED,92
3.39,1292.0,1054.24,22.55,LPSOLVED,93
3.39,1292.0,1054.24,22.55,LPSOLVED,93
3.52,1292.0,1054.24,22.55,LPSOLVED,94
3.52,1292.0,1054.24,22.55,LPSOLVED,94
3.54,1292.0,1054.24,22.55,LPSOLVED,95
3.54,1292.0,1054.24,22.55,LPSOLVED,95
3.56,1292.0,1054.24,22.55,LPSOLVED,95
3.57,1292.0,1054.24,22.55,LPSOLVED,96
3.59,1292.0,1054.24,22.55,LPSOLVED,96
3.59,1292.0,1054.24,22.55,LPSOLVED,97
3.59,1292.0,1054.24,22.55,LPSOLVED,97
3.59,1292.0,1054.24,22.55,LPSOLVED,97
3.59,1292.0,1054.24,22.55,LPSOLVED,98
3.6,1292.0,1054.24,22.55,LPSOLVED,98
3.6,1292.0,1054.24,22.55,LPSOLVED,99
3.6,1292.0,1054.24,22.55,LPSOLVED,99
3.6,1292.0,1054.24,22.55,LPSOLVED,100
3.6,1292.0,1054.24,22.55,LPSOLVED,100
3.6,1292.0,1054.24,22.55,LPSOLVED,101
3.6,1292.0,1054.24,22.55,LPSOLVED,101
3.6,1292.0,1054.24,22.55,LPSOLVED,102
3.6,1292.0,1054.24,22.55,LPSOLVED,102
3.6,1292.0,1054.24,22.55,LPSOLVED,102
3.61,1292.0,1054.24,22.55,LPSOLVED,102
3.61,1292.0,1054.24,22.55,LPSOLVED,102
3.61,1292.0,1054.24,22.55,LPSOLVED,104
3.61,1292.0,1054.24,22.55,LPSOLVED,104
3.77,1292.0,1054.24,22.55,LPSOLVED,105
3.77,1292.0,1054.24,22.55,LPSOLVED,105
3.77,1292.0,1054.24,22.55,LPSOLVED,106
3.77,1292.0,1054.24,22.55,LPSOLVED,106
3.78,1292.0,1054.24,22.55,LPSOLVED,107
3.78,1292.0,1054.24,22.55,LPSOLVED,107
3.79,1292.0,1054.24,22.55,LPSOLVED,108
3.79,1292.0,1054.24,22.55,LPSOLVED,108
3.79,1292.0,1054.24,22.55,LPSOLVED,108
3.79,1292.0,1054.24,22.55,LPSOLVED,108
3.8,1292.0,1054.24,22.55,LPSOLVED,109
3.8,1292.0,1054.24,22.55,LPSOLVED,109
3.8,1292.0,1054.24,22.55,LPSOLVED,109
3.8,1292.0,1054.24,22.55,LPSOLVED,109
3.8,1292.0,1054.24,22.55,LPSOLVED,109
3.81,1292.0,1054.24,22.55,LPSOLVED,112
3.81,1292.0,1054.24,22.55,LPSOLVED,112
3.82,1292.0,1054.24,22.55,LPSOLVED,113
3.82,1292.0,1054.24,22.55,LPSOLVED,113
3.83,1292.0,1054.24,22.55,LPSOLVED,114
3.83,1292.0,1054.24,22.55,LPSOLVED,114
3.84,1292.0,1054.24,22.55,LPSOLVED,115
3.84,1292.0,1054.24,22.55,LPSOLVED,115
3.94,1292.0,1054.24,22.55,LPSOLVED,116
3.94,1292.0,1054.24,22.55,LPSOLVED,116
3.97,1292.0,1054.24,22.55,LPSOLVED,116
3.98,1292.0,1054.24,22.55,LPSOLVED,117
3.98,1292.0,1054.24,22.55,LPSOLVED,118
3.98,1292.0,1054.24,22.55,LPSOLVED,118
3.99,1292.0,1054.24,22.55,LPSOLVED,118
3.99,1292.0,1054.24,22.55,LPSOLVED,119
3.99,1292.0,1054.24,22.55,LPSOLVED,122
3.99,1292.0,1054.24,22.55,LPSOLVED,122
4.0,1292.0,1054.24,22.55,LPSOLVED,123
4.0,1292.0,1054.24,22.55,LPSOLVED,123
4.0,1292.0,1054.24,22.55,LPSOLVED,124
4.0,1292.0,1054.24,22.55,LPSOLVED,124
4.11,1292.0,1054.24,22.55,LPSOLVED,125
4.11,1292.0,1054.24,22.55,LPSOLVED,125
4.11,1292.0,1054.24,22.55,LPSOLVED,125
4.12,1292.0,1054.24,22.55,LPSOLVED,126
4.12,1292.0,1054.24,22.55,LPSOLVED,126
4.12,1292.0,1054.24,22.55,LPSOLVED,126
4.12,1292.0,1054.24,22.55,LPSOLVED,126
4.12,1292.0,1054.24,22.55,LPSOLVED,128
4.13,1292.0,1054.24,22.55,LPSOLVED,130
4.13,1292.0,1054.24,22.55,LPSOLVED,130
4.13,1292.0,1054.24,22.55,LPSOLVED,132
4.13,1292.0,1054.24,22.55,LPSOLVED,132
4.13,1292.0,1054.24,22.55,LPSOLVED,132
4.13,1292.0,1054.24,22.55,LPSOLVED,132
4.13,1292.0,1054.24,22.55,LPSOLVED,134
4.13,1292.0,1054.24,22.55,LPSOLVED,134
4.14,1292.0,1054.24,22.55,LPSOLVED,134
4.14,1292.0,1054.24,22.55,LPSOLVED,134
4.15,1292.0,1054.24,22.55,LPSOLVED,137
4.15,1292.0,1054.24,22.55,LPSOLVED,137
4.16,1292.0,1054.24,22.55,LPSOLVED,138
4.16,1292.0,1054.24,22.55,LPSOLVED,138
4.16,1292.0,1054.24,22.55,LPSOLVED,139
4.16,1292.0,1054.24,22.55,LPSOLVED,139
4.33,1292.0,1054.24,22.55,LPSOLVED,140
4.33,1292.0,1054.24,22.55,LPSOLVED,140
4.34,1292.0,1054.24,22.55,LPSOLVED,141
4.35,1292.0,1054.24,22.55,LPSOLVED,141
4.35,1292.0,1054.24,22.55,LPSOLVED,142
4.35,1292.0,1054.24,22.55,LPSOLVED,142
4.35,1292.0,1054.24,22.55,LPSOLVED,143
4.35,1292.0,1054.24,22.55,LPSOLVED,143
4.36,1292.0,1054.24,22.55,LPSOLVED,143
4.36,1292.0,1054.24,22.55,LPSOLVED,143
4.36,1292.0,1054.24,22.55,LPSOLVED,145
4.36,1292.0,1054.24,22.55,LPSOLVED,145
4.36,1292.0,1054.24,22.55,LPSOLVED,145
4.37,1292.0,1054.24,22.55,LPSOLVED,146
4.37,1292.0,1054.24,22.55,LPSOLVED,146
4.38,1292.0,1054.24,22.55,LPSOLVED,147
4.38,1292.0,1054.24,22.55,LPSOLVED,147
4.48,1292.0,1054.24,22.55,LPSOLVED,148
4.48,1292.0,1054.24,22.55,LPSOLVED,148
4.49,1292.0,1054.24,22.55,LPSOLVED,149
4.49,1292.0,1054.24,22.55,LPSOLVED,149
4.5,1292.0,1054.24,22.55,LPSOLVED,150
4.5,1292.0,1054.24,22.55,LPSOLVED,150
4.5,1292.0,1054.24,22.55,LPSOLVED,151
4.5,1292.0,1054.24,22.55,LPSOLVED,151
4.5,1292.0,1054.24,22.55,LPSOLVED,152
4.51,1292.0,1054.24,22.55,LPSOLVED,152
4.51,1292.0,1054.24,22.55,LPSOLVED,153
4.51,1292.0,1054.24,22.55,LPSOLVED,153
4.51,1292.0,1054.24,22.55,LPSOLVED,153
4.51,1292.0,1054.24,22.55,LPSOLVED,154
4.51,1292.0,1054.24,22.55,LPSOLVED,154
4.51,1292.0,1054.24,22.55,LPSOLVED,155
4.51,1292.0,1054.24,22.55,LPSOLVED,155
4.52,1292.0,1054.24,22.55,LPSOLVED,155
4.52,1292.0,1054.24,22.55,LPSOLVED,155
4.52,1292.0,1054.24,22.55,LPSOLVED,155
4.52,1292.0,1054.24,22.55,LPSOLVED,155
4.52,1292.0,1054.24,22.55,LPSOLVED,157
4.52,1292.0,1054.24,22.55,LPSOLVED,157
4.52,1292.0,1054.24,22.55,LPSOLVED,159
4.52,1292.0,1054.24,22.55,LPSOLVED,159
4.53,1292.0,1059.59,21.93,LPSOLVED,161
4.53,1292.0,1059.59,21.93,LPSOLVED,161
4.54,1292.0,1059.59,21.93,LPSOLVED,162
4.54,1292.0,1059.59,21.93,LPSOLVED,162
4.54,1292.0,1059.59,21.93,LPSOLVED,163
4.54,1292.0,1059.59,21.93,LPSOLVED,163
4.55,1292.0,1059.59,21.93,LPSOLVED,164
4.55,1292.0,1059.59,21.93,LPSOLVED,164
4.56,1292.0,1059.59,21.93,LPSOLVED,165
4.56,1292.0,1059.59,21.93,LPSOLVED,165
4.57,1292.0,1059.59,21.93,LPSOLVED,166
4.57,1292.0,1059.59,21.93,LPSOLVED,166
4.57,1292.0,1059.59,21.93,LPSOLVED,167
4.57,1292.0,1059.59,21.93,LPSOLVED,167
4.67,1292.0,1059.59,21.93,LPSOLVED,168
4.67,1292.0,1059.59,21.93,LPSOLVED,168
4.67,1292.0,1059.59,21.93,LPSOLVED,168
4.68,1292.0,1059.59,21.93,LPSOLVED,168
4.68,1292.0,1059.59,21.93,LPSOLVED,168
4.69,1292.0,1059.59,21.93,LPSOLVED,168
4.69,1292.0,1059.59,21.93,LPSOLVED,168
4.69,1292.0,1059.59,21.93,LPSOLVED,168
4.7,1292.0,1059.59,21.93,LPSOLVED,169
4.7,1292.0,1059.59,21.93,LPSOLVED,169
4.7,1292.0,1059.59,21.93,LPSOLVED,169
4.71,1292.0,1059.59,21.93,LPSOLVED,172
4.71,1292.0,1059.59,21.93,LPSOLVED,172
4.91,1292.0,1059.59,21.93,LPSOLVED,173
4.91,1292.0,1059.59,21.93,LPSOLVED,173
4.92,1292.0,1059.59,21.93,LPSOLVED,174
4.92,1292.0,1059.59,21.93,LPSOLVED,174
4.93,1292.0,1059.59,21.93,LPSOLVED,175
4.93,1292.0,1059.59,21.93,LPSOLVED,175
4.93,1292.0,1059.59,21.93,LPSOLVED,177
4.94,1292.0,1059.59,21.93,LPSOLVED,177
4.94,1292.0,1059.59,21.93,LPSOLVED,178
4.94,1292.0,1059.59,21.93,LPSOLVED,178
4.95,1292.0,1059.59,21.93,LPSOLVED,179
4.95,1292.0,1059.59,21.93,LPSOLVED,179
4.95,1292.0,1059.59,21.93,LPSOLVED,180
4.95,1292.0,1059.59,21.93,LPSOLVED,180
4.95,1292.0,1059.59,21.93,LPSOLVED,181
4.95,1292.0,1059.59,21.93,LPSOLVED,181
4.96,1292.0,1059.59,21.93,LPSOLVED,182
4.96,1292.0,1059.59,21.93,LPSOLVED,182
4.96,1292.0,1059.59,21.93,LPSOLVED,182
4.96,1292.0,1059.59,21.93,LPSOLVED,182
4.96,1292.0,1059.59,21.93,LPSOLVED,184
4.96,1292.0,1059.59,21.93,LPSOLVED,184
5.18,1292.0,1059.59,21.93,LPSOLVED,185
5.18,1292.0,1059.59,21.93,LPSOLVED,185
5.22,1292.0,1059.59,21.93,LPSOLVED,186
5.22,1292.0,1059.59,21.93,LPSOLVED,186
5.23,1292.0,1059.59,21.93,LPSOLVED,187
5.23,1292.0,1059.59,21.93,LPSOLVED,187
5.24,1292.0,1059.59,21.93,LPSOLVED,187
5.24,1292.0,1059.59,21.93,LPSOLVED,188
5.24,1292.0,1059.59,21.93,LPSOLVED,188
5.25,1292.0,1059.59,21.93,LPSOLVED,190
5.25,1292.0,1059.59,21.93,LPSOLVED,190
5.25,1292.0,1059.59,21.93,LPSOLVED,192
5.25,1292.0,1059.59,21.93,LPSOLVED,192
5.25,1292.0,1059.59,21.93,LPSOLVED,194
5.25,1292.0,1059.59,21.93,LPSOLVED,194
5.34,1292.0,1059.59,21.93,LPSOLVED,197
5.34,1292.0,1059.59,21.93,LPSOLVED,197
5.34,1292.0,1059.59,21.93,LPSOLVED,198
5.34,1292.0,1059.59,21.93,LPSOLVED,198
5.35,1292.0,1059.59,21.93,LPSOLVED,199
5.35,1292.0,1059.59,21.93,LPSOLVED,199
5.35,1292.0,1059.59,21.93,LPSOLVED,200
5.35,1292.0,1059.59,21.93,LPSOLVED,200
5.35,1292.0,1059.59,21.93,LPSOLVED,201
5.35,1292.0,1059.59,21.93,LPSOLVED,201
5.36,1292.0,1059.59,21.93,LPSOLVED,202
5.36,1292.0,1059.59,21.93,LPSOLVED,202
5.36,1292.0,1059.59,21.93,LPSOLVED,203
5.36,1292.0,1059.59,21.93,LPSOLVED,203
5.36,1292.0,1059.59,21.93,LPSOLVED,204
5.37,1292.0,1059.59,21.93,LPSOLVED,207
5.37,1292.0,1059.59,21.93,LPSOLVED,207
5.37,1292.0,1059.59,21.93,LPSOLVED,208
5.38,1292.0,1059.59,21.93,LPSOLVED,208
5.38,1292.0,1059.59,21.93,LPSOLVED,209
5.38,1292.0,1059.59,21.93,LPSOLVED,209
5.38,1292.0,1059.59,21.93,LPSOLVED,210
5.38,1292.0,1059.59,21.93,LPSOLVED,211
5.38,1292.0,1059.59,21.93,LPSOLVED,211
5.52,1292.0,1059.59,21.93,LPSOLVED,212
5.52,1292.0,1059.59,21.93,LPSOLVED,212
5.53,1292.0,1059.59,21.93,LPSOLVED,213
5.53,1292.0,1059.59,21.93,LPSOLVED,213
5.53,1292.0,1059.59,21.93,LPSOLVED,213
5.53,1292.0,1059.59,21.93,LPSOLVED,213
5.53,1292.0,1059.59,21.93,LPSOLVED,214
5.53,1292.0,1059.59,21.93,LPSOLVED,214
5.53,1292.0,1059.59,21.93,LPSOLVED,216
5.53,1292.0,1059.59,21.93,LPSOLVED,216
5.54,1292.0,1059.59,21.93,LPSOLVED,216
5.54,1292.0,1059.59,21.93,LPSOLVED,218
5.54,1292.0,1059.59,21.93,LPSOLVED,218
5.54,1292.0,1059.59,21.93,LPSOLVED,220
5.54,1292.0,1059.59,21.93,LPSOLVED,220
5.55,1292.0,1059.59,21.93,LPSOLVED,222
5.55,1292.0,1059.59,21.93,LPSOLVED,222
5.55,1292.0,1059.59,21.93,LPSOLVED,223
5.55,1292.0,1059.59,21.93,LPSOLVED,223
5.56,1292.0,1059.59,21.93,LPSOLVED,224
5.56,1292.0,1059.59,21.93,LPSOLVED,224
5.56,1292.0,1059.59,21.93,LPSOLVED,225
5.56,1292.0,1059.59,21.93,LPSOLVED,225
5.56,1292.0,1059.59,21.93,LPSOLVED,226
5.56,1292.0,1059.59,21.93,LPSOLVED,226
5.57,1292.0,1059.59,21.93,LPSOLVED,227
5.57,1292.0,1059.59,21.93,LPSOLVED,227
5.65,1292.0,1059.59,21.93,LPSOLVED,228
5.65,1292.0,1059.59,21.93,LPSOLVED,228
5.66,1292.0,1059.59,21.93,LPSOLVED,229
5.66,1292.0,1059.59,21.93,LPSOLVED,229
5.67,1292.0,1059.59,21.93,LPSOLVED,230
5.67,1292.0,1059.59,21.93,LPSOLVED,230
5.68,1292.0,1059.59,21.93,LPSOLVED,231
5.68,1292.0,1059.59,21.93,LPSOLVED,231
5.69,1292.0,1059.59,21.93,LPSOLVED,231
5.69,1292.0,1059.59,21.93,LPSOLVED,231
5.69,1292.0,1059.59,21.93,LPSOLVED,232
5.69,1292.0,1059.59,21.93,LPSOLVED,232
5.69,1292.0,1059.59,21.93,LPSOLVED,232
5.7,1292.0,1059.59,21.93,LPSOLVED,235
5.7,1292.0,1059.59,21.93,LPSOLVED,235
5.7,1292.0,1059.59,21.93,LPSOLVED,236
5.7,1292.0,1059.59,21.93,LPSOLVED,236
5.71,1292.0,1059.59,21.93,LPSOLVED,237
5.71,1292.0,1059.59,21.93,LPSOLVED,237
5.71,1292.0,1059.59,21.93,LPSOLVED,238
5.71,1292.0,1059.59,21.93,LPSOLVED,238
5.78,1292.0,1059.59,21.93,LPSOLVED,239
5.78,1292.0,1059.59,21.93,LPSOLVED,239
5.79,1292.0,1059.59,21.93,LPSOLVED,240
5.79,1292.0,1059.59,21.93,LPSOLVED,240
5.8,1292.0,1059.59,21.93,LPSOLVED,240
5.8,1292.0,1059.59,21.93,LPSOLVED,240
5.8,1292.0,1059.59,21.93,LPSOLVED,241
5.8,1292.0,1059.59,21.93,LPSOLVED,241
5.81,1292.0,1059.59,21.93,LPSOLVED,244
5.81,1292.0,1059.59,21.93,LPSOLVED,244
5.81,1292.0,1059.59,21.93,LPSOLVED,245
5.81,1292.0,1059.59,21.93,LPSOLVED,245
5.81,1292.0,1059.59,21.93,LPSOLVED,246
5.81,1292.0,1059.59,21.93,LPSOLVED,246
5.9,1292.0,1059.59,21.93,LPSOLVED,247
5.9,1292.0,1059.59,21.93,LPSOLVED,247
5.91,1292.0,1059.59,21.93,LPSOLVED,248
5.91,1292.0,1059.59,21.93,LPSOLVED,248
5.93,1292.0,1059.59,21.93,LPSOLVED,249
5.93,1292.0,1059.59,21.93,LPSOLVED,249
5.93,1292.0,1059.59,21.93,LPSOLVED,250
5.93,1292.0,1059.59,21.93,LPSOLVED,250
5.93,1292.0,1059.59,21.93,LPSOLVED,251
5.93,1292.0,1059.59,21.93,LPSOLVED,251
5.93,1292.0,1059.59,21.93,LPSOLVED,252
5.93,1292.0,1059.59,21.93,LPSOLVED,253
5.93,1292.0,1059.59,21.93,LPSOLVED,253
5.93,1292.0,1059.59,21.93,LPSOLVED,255
5.93,1292.0,1059.59,21.93,LPSOLVED,255
5.94,1292.0,1059.59,21.93,LPSOLVED,257
5.94,1292.0,1059.59,21.93,LPSOLVED,257
6.04,1292.0,1059.59,21.93,LPSOLVED,258
6.04,1292.0,1059.59,21.93,LPSOLVED,258
6.05,1292.0,1059.59,21.93,LPSOLVED,259
6.05,1292.0,1059.59,21.93,LPSOLVED,259
6.05,1292.0,1059.59,21.93,LPSOLVED,260
6.06,1292.0,1059.59,21.93,LPSOLVED,261
6.06,1292.0,1059.59,21.93,LPSOLVED,261
6.07,1292.0,1059.59,21.93,LPSOLVED,261
6.07,1292.0,1059.59,21.93,LPSOLVED,261
6.07,1292.0,1059.59,21.93,LPSOLVED,262
6.07,1292.0,1059.59,21.93,LPSOLVED,262
6.08,1292.0,1059.59,21.93,LPSOLVED,262
6.08,1292.0,1059.59,21.93,LPSOLVED,262
6.08,1292.0,1059.59,21.93,LPSOLVED,262
6.08,1292.0,1059.59,21.93,LPSOLVED,263
6.09,1292.0,1059.59,21.93,LPSOLVED,263
6.09,1292.0,1059.59,21.93,LPSOLVED,263
6.09,1292.0,1059.59,21.93,LPSOLVED,263
6.09,1292.0,1059.59,21.93,LPSOLVED,263
