time,total_nodes,depth,lp_iterations,dual_bound,primal_bound
9.61,418,8,52395,1077.3884815139613,1286.0
9.62,419,9,52445,1077.3884815139613,1286.0
9.62,420,8,52583,1077.3884815139613,1286.0
9.63,421,9,52656,1077.3884815139613,1286.0
9.63,422,10,52754,1077.3884815139613,1286.0
9.69,423,8,52963,1077.3884815139613,1286.0
9.7,424,9,53060,1077.3884815139613,1286.0
9.71,425,10,53167,1077.3884815139613,1286.0
9.88,426,8,53679,1077.3884815139613,1286.0
9.9,427,9,53692,1077.3884815139613,1286.0
9.9,428,10,53762,1077.3884815139613,1286.0
9.98,429,11,54207,1077.3884815139613,1286.0
9.99,430,12,54277,1077.3884815139613,1286.0
10.0,431,4,54583,1077.3884815139613,1286.0
10.01,432,5,54712,1086.8857568238482,1286.0
10.01,433,6,54769,1086.8857568238482,1286.0
10.01,434,7,54805,1086.8857568238482,1286.0
10.01,435,8,54832,1086.8857568238482,1286.0
10.02,436,9,54908,1086.8857568238482,1286.0
10.02,437,8,55126,1086.8857568238482,1286.0
10.03,438,9,55169,1086.8857568238482,1286.0
10.03,439,10,55192,1086.8857568238482,1286.0
10.23,440,9,55469,1086.8857568238482,1286.0
10.24,441,10,55502,1086.8857568238482,1286.0
10.36,442,11,55951,1086.8857568238482,1286.0
10.37,443,8,56060,1086.8857568238482,1286.0
10.37,444,9,56173,1086.8857568238482,1286.0
10.38,445,10,56226,1086.8857568238482,1286.0
10.56,446,10,56796,1086.8857568238482,1286.0
10.62,447,11,57136,1086.8857568238482,1286.0
10.62,448,12,57232,1086.8857568238482,1286.0
10.62,449,5,57263,1086.8857568238482,1286.0
10.64,450,6,57483,1086.8857568238482,1286.0
10.64,451,7,57624,1086.8857568238482,1286.0
10.65,452,8,57650,1086.8857568238482,1286.0
10.65,453,9,57747,1086.8857568238482,1286.0
10.65,454,10,57795,1086.8857568238482,1286.0
10.77,455,9,58083,1086.8857568238482,1285.0
10.78,456,10,58136,1086.8857568238482,1285.0
10.86,457,11,58516,1086.8857568238482,1285.0
10.87,458,10,58638,1086.8857568238482,1285.0
11.0,459,11,59124,1086.8857568238482,1285.0
11.02,460,12,59293,1086.8857568238482,1285.0
11.03,461,5,59479,1086.8857568238482,1285.0
11.03,462,6,59598,1087.0261571589006,1285.0
11.04,463,7,59767,1087.0261571589006,1285.0
11.05,464,9,59930,1087.0261571589006,1285.0
11.05,465,10,59939,1087.0261571589006,1285.0
11.21,466,11,60339,1087.0261571589006,1285.0
11.22,467,10,60372,1087.0261571589006,1285.0
11.41,468,11,60764,1087.0261571589006,1285.0
11.41,469,12,60799,1087.0261571589006,1285.0
11.41,470,12,60862,1087.0261571589006,1285.0
11.41,471,13,60864,1087.0261571589006,1285.0
11.42,472,14,60895,1087.0261571589006,1285.0
11.42,473,15,60996,1087.0261571589006,1285.0
11.43,474,14,61085,1087.0261571589006,1285.0
11.43,475,15,61096,1087.0261571589006,1285.0
11.43,476,16,61204,1087.0261571589006,1285.0
11.44,477,15,61394,1087.0261571589006,1285.0
11.44,478,16,61432,1087.0261571589006,1285.0
11.45,479,17,61673,1087.0261571589006,1285.0
11.45,480,16,61771,1087.0261571589006,1285.0
11.46,481,17,61789,1087.0261571589006,1285.0
11.47,482,18,62000,1087.0261571589006,1285.0
11.47,483,13,62021,1087.0261571589006,1285.0
11.47,484,14,62065,1087.0261571589006,1285.0
11.47,485,15,62118,1087.0261571589006,1285.0
11.49,486,14,62456,1087.0261571589006,1285.0
11.5,487,15,62493,1087.0261571589006,1285.0
11.5,488,16,62736,1087.0261571589006,1285.0
11.51,489,15,62768,1087.0261571589006,1285.0
11.51,490,16,62784,1087.0261571589006,1285.0
11.52,491,17,63088,1087.0261571589006,1285.0
11.53,492,13,63176,1087.0261571589006,1285.0
11.53,493,14,63261,1087.0261571589006,1285.0
11.54,494,15,63475,1087.0261571589006,1285.0
11.55,495,14,63599,1087.0261571589006,1285.0
11.55,496,15,63672,1087.0261571589006,1285.0
11.56,497,16,63859,1087.0261571589006,1285.0
11.57,498,10,63899,1087.0261571589006,1285.0
11.79,499,11,64303,1087.0261571589006,1285.0
11.79,500,12,64353,1087.0261571589006,1285.0
11.8,501,8,64474,1087.0261571589006,1285.0
11.8,502,9,64651,1087.9198481963338,1285.0
11.81,503,10,64754,1087.9198481963338,1285.0
11.85,504,12,64866,1087.9198481963338,1285.0
11.86,505,13,64904,1087.9198481963338,1285.0
11.86,506,14,65020,1087.9198481963338,1285.0
11.87,507,9,65165,1087.9198481963338,1285.0
11.88,508,10,65304,1087.9198481963338,1285.0
11.95,509,11,65549,1087.9198481963338,1285.0
11.95,510,9,65641,1087.9198481963338,1285.0
11.96,511,10,65737,1087.9198481963338,1285.0
12.09,512,11,65914,1087.9198481963338,1285.0
12.1,513,8,65923,1087.9198481963338,1285.0
12.11,514,9,66064,1087.9198481963338,1285.0
12.11,515,10,66210,1087.9198481963338,1285.0
12.3,516,7,66782,1087.9198481963338,1285.0
12.31,517,8,66925,1087.9198481963338,1285.0
12.32,518,9,66954,1087.9198481963338,1285.0
12.33,519,17,67314,1087.9198481963338,1285.0
12.35,520,18,67325,1087.9198481963338,1285.0
12.36,521,19,67458,1087.9198481963338,1285.0
12.38,522,9,67609,1087.9198481963338,1285.0
12.39,523,10,67749,1087.9198481963338,1285.0
12.47,524,11,68162,1087.9198481963338,1285.0
12.48,525,9,68201,1087.9198481963338,1285.0
12.49,526,10,68291,1087.9198481963338,1285.0
12.66,527,11,68526,1087.9198481963338,1285.0
12.67,528,6,68616,1087.9198481963338,1285.0
12.68,529,7,68636,1087.9198481963338,1285.0
12.68,530,8,68707,1087.9198481963338,1285.0
12.69,531,7,68924,1087.9198481963338,1285.0
12.7,532,8,69048,1089.4403225867497,1285.0
12.7,533,9,69115,1089.4403225867497,1285.0
12.71,534,10,69270,1089.4403225867497,1285.0
12.81,535,11,69729,1089.4403225867497,1285.0
12.82,536,12,69829,1089.4403225867497,1285.0
12.83,537,8,69886,1089.4403225867497,1285.0
12.83,538,9,69926,1089.4403225867497,1285.0
12.84,539,10,70032,1089.4403225867497,1285.0
12.94,540,16,70604,1089.4403225867497,1285.0
12.95,541,17,70632,1089.4403225867497,1285.0
12.96,542,18,70933,1089.4403225867497,1285.0
12.96,543,7,70940,1089.4403225867497,1285.0
12.98,544,8,71179,1089.4403225867497,1285.0
12.98,545,9,71320,1089.4403225867497,1285.0
12.99,546,9,71612,1089.4403225867497,1285.0
13.0,547,10,71662,1089.4403225867497,1285.0
13.07,548,11,71970,1089.4403225867497,1285.0
13.07,549,15,72107,1089.4403225867497,1285.0
13.09,550,16,72218,1089.4403225867497,1285.0
13.11,551,17,72458,1089.4403225867497,1285.0
13.11,552,6,72523,1089.4403225867497,1285.0
13.11,553,7,72573,1089.4403225867497,1285.0
13.12,554,8,72676,1089.4403225867497,1285.0
13.13,555,17,72998,1089.4403225867497,1285.0
13.15,556,18,73045,1089.4403225867497,1285.0
13.16,557,19,73200,1089.4403225867497,1285.0
13.16,558,9,73307,1089.4403225867497,1285.0
13.17,559,10,73388,1089.4403225867497,1285.0
13.27,560,11,73833,1089.4403225867497,1285.0
13.29,561,2,74121,1089.4403225867497,1285.0
13.3,562,3,74316,1096.982735739843,1285.0
13.3,563,4,74333,1096.982735739843,1285.0
13.31,564,8,74646,1096.982735739843,1285.0
13.32,565,9,74690,1096.982735739843,1285.0
